"variable","importance","ID","K.sce","I.sce","N.sce"
"I",0.0207954922581457,13,0.05,1,1
"theta",0.00770909640287338,13,0.05,1,1
"Pl",0.00738471533459895,13,0.05,1,1
"Pn",0.00749573692545023,13,0.05,1,1
"Pa",0.0117897380987993,13,0.05,1,1
"Ql",0.0506008692524644,13,0.05,1,1
"Qn",0.00910266360955905,13,0.05,1,1
"Qa",0.00833287532651926,13,0.05,1,1
"Ra",0.0475323671340031,13,0.05,1,1
"E",0.0359276127721608,14,0.05,1,1
"Sl",0.025388775191059,14,0.05,1,1
"Sn",0.0309947603154226,14,0.05,1,1
"Sa",0.0293405227789368,14,0.05,1,1
"Cll",0.0119135009208503,14,0.05,1,1
"Cnl",0.0066918522423303,14,0.05,1,1
"Cal",0.00498459873826711,14,0.05,1,1
"Cln",0.0112719373660927,14,0.05,1,1
"Cnn",0.00436895565057672,14,0.05,1,1
"Can",0.00555367383886839,14,0.05,1,1
"Cla",0.013441972036583,14,0.05,1,1
"Cna",0.00543079145306968,14,0.05,1,1
"Caa",0.00432751524018285,14,0.05,1,1
"Cs",0.100281920984481,14,0.05,1,1
"Nlh",0.0119767338287863,14,0.05,1,1
"Nnh",0.00435741463332531,14,0.05,1,1
"Nah",0.0053825680529355,14,0.05,1,1
"Dl",0.00789460444715137,14,0.05,1,1
"Dn",0.00847073031289016,14,0.05,1,1
"Da",0.00654133344984946,14,0.05,1,1
"Hcn",0.141937990598834,14,0.05,1,1
"Hcs",0.021790443213534,14,0.05,1,1
"I",0.0154000828676576,14,0.05,1,1
"theta",0.00579989114437114,14,0.05,1,1
"Pl",0.00635776142583501,14,0.05,1,1
"Pn",0.00890117489006298,14,0.05,1,1
"Pa",0.00881976352573032,14,0.05,1,1
"Ql",0.0483156718732918,14,0.05,1,1
"Qn",0.00745525846579053,14,0.05,1,1
"Qa",0.00617674427896533,14,0.05,1,1
"Ra",0.0498246545804234,14,0.05,1,1
"E",0.0186326367400841,15,0.05,1,1
"Sl",0.0301358570447025,15,0.05,1,1
"Sn",0.0432246558846089,15,0.05,1,1
"Sa",0.0383170153961439,15,0.05,1,1
"Cll",0.0115421611117877,15,0.05,1,1
"Cnl",0.00730879817699658,15,0.05,1,1
"Cal",0.00581643397776305,15,0.05,1,1
"Cln",0.0121192044369792,15,0.05,1,1
"Cnn",0.00697949037291442,15,0.05,1,1
"Can",0.00643323893032036,15,0.05,1,1
