"variable","importance","ID","K.sce","I.sce","N.sce"
"I",0.000252454311977923,14,0.05,1,1
"theta",0.000110008484732985,14,0.05,1,1
"Pl",9.73445218967492e-05,14,0.05,1,1
"Pn",9.63299453625726e-05,14,0.05,1,1
"Pa",0.000140902380447506,14,0.05,1,1
"Ql",0.000387482246287052,14,0.05,1,1
"Qn",0.00015269741170284,14,0.05,1,1
"Qa",8.59966595293427e-05,14,0.05,1,1
"Ra",0.00588300577951781,14,0.05,1,1
"E",0.00233482596640087,15,0.05,1,1
"Sl",0.00117430851485225,15,0.05,1,1
"Sn",0.00260138972806976,15,0.05,1,1
"Sa",0.00200717871168226,15,0.05,1,1
"Cll",0.000117953964900244,15,0.05,1,1
"Cnl",9.7090900426835e-05,15,0.05,1,1
"Cal",9.11133155410004e-05,15,0.05,1,1
"Cln",0.000103982501842602,15,0.05,1,1
"Cnn",0.00011195355617848,15,0.05,1,1
"Can",0.000115261974479302,15,0.05,1,1
"Cla",0.000122497022284539,15,0.05,1,1
"Cna",0.000140979515116883,15,0.05,1,1
"Caa",0.000109757810695582,15,0.05,1,1
"Cs",0.000340001928346981,15,0.05,1,1
"Nlh",0.000108365233119368,15,0.05,1,1
"Nnh",0.000113797641625647,15,0.05,1,1
"Nah",9.69057817795098e-05,15,0.05,1,1
"Dl",7.95648635280735e-05,15,0.05,1,1
"Dn",9.39157869746703e-05,15,0.05,1,1
"Da",9.52704589803175e-05,15,0.05,1,1
"Hcn",0.000152257154005141,15,0.05,1,1
"Hcs",0.000391026144247065,15,0.05,1,1
"I",0.000303762316683907,15,0.05,1,1
"theta",8.08539413469014e-05,15,0.05,1,1
"Pl",6.50286323918103e-05,15,0.05,1,1
"Pn",0.000103534880720234,15,0.05,1,1
"Pa",0.000174133967697817,15,0.05,1,1
"Ql",0.000296328017579011,15,0.05,1,1
"Qn",9.23071875038175e-05,15,0.05,1,1
"Qa",0.00010172998984201,15,0.05,1,1
"Ra",0.00615741962798436,15,0.05,1,1
"E",0.00282459453328462,16,0.05,1,1
"Sl",0.00159848455714247,16,0.05,1,1
"Sn",0.00282878723493756,16,0.05,1,1
"Sa",0.00232796769671266,16,0.05,1,1
"Cll",0.000138441334270976,16,0.05,1,1
"Cnl",0.000151783370786348,16,0.05,1,1
"Cal",0.000175992480385762,16,0.05,1,1
"Cln",0.000121390883354357,16,0.05,1,1
"Cnn",0.000178793457231622,16,0.05,1,1
"Can",0.000204960490204677,16,0.05,1,1
"Cla",0.000126769838555597,16,0.05,1,1
"Cna",0.000181058112829,16,0.05,1,1
"Caa",0.000157203211409794,16,0.05,1,1
"Cs",0.00043141829684861,16,0.05,1,1
"Nlh",0.000117895365781946,16,0.05,1,1
"Nnh",0.000143379061434632,16,0.05,1,1
"Nah",0.000172119574173208,16,0.05,1,1
"Dl",0.000124062273333866,16,0.05,1,1
"Dn",0.000110736776482222,16,0.05,1,1
"Da",0.000168342681395875,16,0.05,1,1
"Hcn",0.000311526319233895,16,0.05,1,1
"Hcs",0.000619634614806107,16,0.05,1,1
"I",0.000448136936019754,16,0.05,1,1
"theta",0.000133686127831623,16,0.05,1,1
"Pl",8.20583799381554e-05,16,0.05,1,1
"Pn",8.64623251984376e-05,16,0.05,1,1
"Pa",0.000101199699044198,16,0.05,1,1
"Ql",0.000184225688740875,16,0.05,1,1
"Qn",0.000117331668402006,16,0.05,1,1
"Qa",0.000170409313193581,16,0.05,1,1
"Ra",0.0080047828300571,16,0.05,1,1
"E",0.00254668721977234,17,0.05,1,1
"Sl",0.00197676742071712,17,0.05,1,1
"Sn",0.00320565032848193,17,0.05,1,1
"Sa",0.0018508351419717,17,0.05,1,1
"Cll",0.000205654771320673,17,0.05,1,1
"Cnl",0.000194496557477865,17,0.05,1,1
"Cal",0.000201222929635431,17,0.05,1,1
"Cln",0.000145076689785391,17,0.05,1,1
"Cnn",0.000225605661242006,17,0.05,1,1
"Can",0.000248867234539077,17,0.05,1,1
"Cla",0.000187692144533115,17,0.05,1,1
"Cna",0.000150348072255126,17,0.05,1,1
"Caa",0.000281605704933572,17,0.05,1,1
"Cs",0.00032523759576397,17,0.05,1,1
"Nlh",0.000211787758944762,17,0.05,1,1
"Nnh",0.000206590431759754,17,0.05,1,1
"Nah",0.000265811368331858,17,0.05,1,1
"Dl",0.000110424161342186,17,0.05,1,1
"Dn",0.000157098426805822,17,0.05,1,1
"Da",0.000118206162813725,17,0.05,1,1
"Hcn",0.000225616759948212,17,0.05,1,1
"Hcs",0.000427275773961137,17,0.05,1,1
"I",0.000209891827164403,17,0.05,1,1
"theta",0.000119131117404433,17,0.05,1,1
"Pl",0.000120462872854788,17,0.05,1,1
"Pn",0.000115442972320524,17,0.05,1,1
"Pa",0.000131428312262659,17,0.05,1,1
"Ql",0.000427317011633701,17,0.05,1,1
"Qn",0.000144463608230794,17,0.05,1,1
"Qa",0.000109208165433042,17,0.05,1,1
"Ra",0.00659240775650325,17,0.05,1,1
"E",0.00254838281429161,18,0.05,1,1
"Sl",0.0022785877965072,18,0.05,1,1
"Sn",0.00333970912745272,18,0.05,1,1
"Sa",0.00181917331255932,18,0.05,1,1
"Cll",0.000134485529679512,18,0.05,1,1
"Cnl",9.45914457479597e-05,18,0.05,1,1
"Cal",0.000112689956281585,18,0.05,1,1
"Cln",0.000121059531774947,18,0.05,1,1
"Cnn",0.000121741198419208,18,0.05,1,1
"Can",0.000129551116392695,18,0.05,1,1
"Cla",0.000140134594556945,18,0.05,1,1
"Cna",0.000183441998894749,18,0.05,1,1
"Caa",0.000122999221605997,18,0.05,1,1
"Cs",0.000194804985934725,18,0.05,1,1
"Nlh",0.000146441027881985,18,0.05,1,1
"Nnh",0.000128851194735256,18,0.05,1,1
"Nah",0.000151075163706896,18,0.05,1,1
"Dl",0.000103210104164795,18,0.05,1,1
"Dn",0.000157315035074117,18,0.05,1,1
"Da",0.000140022250185245,18,0.05,1,1
"Hcn",0.000321615733634485,18,0.05,1,1
"Hcs",0.000705724884327755,18,0.05,1,1
"I",0.000328295955073306,18,0.05,1,1
"theta",9.321026178744e-05,18,0.05,1,1
"Pl",0.000118500981909456,18,0.05,1,1
"Pn",0.000102193061800306,18,0.05,1,1
"Pa",0.000115144939993444,18,0.05,1,1
"Ql",0.000451227644210465,18,0.05,1,1
"Qn",0.000106986142388136,18,0.05,1,1
"Qa",0.000120023661769664,18,0.05,1,1
"Ra",0.0060811063709465,18,0.05,1,1
"E",0.00267593450223589,19,0.05,1,1
"Sl",0.00235481052927169,19,0.05,1,1
"Sn",0.0023902529087982,19,0.05,1,1
"Sa",0.00187348067129427,19,0.05,1,1
"Cll",0.000128936068946911,19,0.05,1,1
"Cnl",0.000109443273210256,19,0.05,1,1
"Cal",0.000140673563565237,19,0.05,1,1
"Cln",0.00011951106273071,19,0.05,1,1
"Cnn",0.000149431510714459,19,0.05,1,1
"Can",0.000151408171919539,19,0.05,1,1
"Cla",0.000127048043871168,19,0.05,1,1
"Cna",0.000123650554273423,19,0.05,1,1
"Caa",0.000194146639443105,19,0.05,1,1
"Cs",0.000274191542642551,19,0.05,1,1
"Nlh",0.000130958107264972,19,0.05,1,1
"Nnh",0.000141824998707031,19,0.05,1,1
