"variable","importance","ID","K.sce","I.sce","N.sce"
"Dl",0.000557151726085889,15,0.05,1,1
"Dn",0.00028399052427557,15,0.05,1,1
"Da",0.000286078138408712,15,0.05,1,1
"Hcn",0.00927106672672343,15,0.05,1,1
"Hcs",0.00453005505538905,15,0.05,1,1
"I",0.00238973533654506,15,0.05,1,1
"theta",0.000312830768334431,15,0.05,1,1
"Pl",0.000397979570955628,15,0.05,1,1
"Pn",0.00023941427446394,15,0.05,1,1
"Pa",0.000466939310976135,15,0.05,1,1
"Ql",0.00505713303953248,15,0.05,1,1
"Qn",0.000316896056709524,15,0.05,1,1
"Qa",0.000361339874965143,15,0.05,1,1
"Ra",0.00331277292380709,15,0.05,1,1
"E",0.000893346553585658,16,0.05,1,1
"Sl",0.000666992602627142,16,0.05,1,1
"Sn",0.00246678416609654,16,0.05,1,1
"Sa",0.00111758990755319,16,0.05,1,1
"Cll",0.000188830171856974,16,0.05,1,1
"Cnl",0.00027843950133521,16,0.05,1,1
"Cal",0.000178603451697811,16,0.05,1,1
"Cln",0.000217779150742337,16,0.05,1,1
"Cnn",0.000249597336512755,16,0.05,1,1
"Can",0.000214246048036896,16,0.05,1,1
"Cla",0.000202247526201307,16,0.05,1,1
"Cna",0.000216048797403922,16,0.05,1,1
"Caa",0.000152247822960579,16,0.05,1,1
"Cs",0.00615591241724157,16,0.05,1,1
"Nlh",0.00019980098914574,16,0.05,1,1
"Nnh",0.000220824184847733,16,0.05,1,1
"Nah",0.000232527746932004,16,0.05,1,1
"Dl",0.000394472140802395,16,0.05,1,1
"Dn",0.00023675946907442,16,0.05,1,1
"Da",0.000276172450796344,16,0.05,1,1
"Hcn",0.00938212217279168,16,0.05,1,1
"Hcs",0.00327975245997859,16,0.05,1,1
"I",0.00169305116364239,16,0.05,1,1
"theta",0.000252210490664916,16,0.05,1,1
"Pl",0.000334589681373687,16,0.05,1,1
"Pn",0.000234785930346493,16,0.05,1,1
"Pa",0.000569907706610133,16,0.05,1,1
"Ql",0.00230080181796213,16,0.05,1,1
"Qn",0.000194519320136534,16,0.05,1,1
"Qa",0.000425175271686415,16,0.05,1,1
"Ra",0.00557419677913469,16,0.05,1,1
"E",0.00108582880403663,17,0.05,1,1
"Sl",0.000836403293315649,17,0.05,1,1
"Sn",0.00292968455701611,17,0.05,1,1
"Sa",0.000537757413454428,17,0.05,1,1
"Cll",0.000244276543481456,17,0.05,1,1
"Cnl",0.000266997982854831,17,0.05,1,1
"Cal",0.000229487236724754,17,0.05,1,1
"Cln",0.000246697215234518,17,0.05,1,1
"Cnn",0.000230298903172183,17,0.05,1,1
"Can",0.000249690708631614,17,0.05,1,1
"Cla",0.000228396496587924,17,0.05,1,1
"Cna",0.000215228451771133,17,0.05,1,1
"Caa",0.000251425434095133,17,0.05,1,1
"Cs",0.00619496439069979,17,0.05,1,1
"Nlh",0.00026801799643034,17,0.05,1,1
"Nnh",0.000206078766842139,17,0.05,1,1
"Nah",0.000289486051766719,17,0.05,1,1
"Dl",0.000347070962978218,17,0.05,1,1
"Dn",0.000229350916145244,17,0.05,1,1
"Da",0.000325897094960714,17,0.05,1,1
"Hcn",0.00868380423218613,17,0.05,1,1
"Hcs",0.00384404334381161,17,0.05,1,1
"I",0.00200716983093933,17,0.05,1,1
"theta",0.000311845893693081,17,0.05,1,1
"Pl",0.000341891536918932,17,0.05,1,1
"Pn",0.000264956502737117,17,0.05,1,1
"Pa",0.000790466676660219,17,0.05,1,1
"Ql",0.00393916677435856,17,0.05,1,1
"Qn",0.000239724321672971,17,0.05,1,1
"Qa",0.000280467393545662,17,0.05,1,1
"Ra",0.00489938788870378,17,0.05,1,1
"E",0.0018500326517898,18,0.05,1,1
"Sl",0.00065653908391515,18,0.05,1,1
"Sn",0.00363415423259808,18,0.05,1,1
"Sa",0.00140845228290984,18,0.05,1,1
"Cll",0.000195290965482668,18,0.05,1,1
